13.05.2012;Irçna, Irîna, Ira, Iraîda
14.05.2012;Kriðjânis, Elfa, Elvita, Aivita
15.05.2012;Sofija, Taiga, Arita, Airita
16.05.2012;Edvîns, Edijs
17.05.2012;Herberts, Dailis, Umberts
18.05.2012;Inese, Inesis, Çriks
19.05.2012;Lita, Sibilla, Teika
20.05.2012;Venta, Salvis, Selva
21.05.2012;Ernestîne, Ingmârs, Akvelîna
22.05.2012;Emîlija, kalendâros nerakstîto vârdu diena
23.05.2012;Leontîne, Lonija, Ligija, Leokâdija
24.05.2012;Ilvija, Marlçna, Ziedone
25.05.2012;Anðlavs, Junora
26.05.2012;Eduards, Edvards, Edvarts, Varis
27.05.2012;Dzidra, Dzidris, Gunita, Loreta
28.05.2012;Vilis, Vilhelms
29.05.2012;Maksis, Maksims, Raivis, Raivo
30.05.2012;Vitolds, Lolita, Letîcija
31.05.2012;Alîda, Jûsma
01.06.2012;Biruta, Mairita, Bernedîna
02.06.2012;Emma, Lîba
03.06.2012;Inta, Intra, Ineta
04.06.2012;Elfrîda, Sintija, Sindija
05.06.2012;Igors, Margots, Ingvars
06.06.2012;Ingrîda, Ardis
07.06.2012;Gaida, Arnis, Arno
08.06.2012;Frîdis, Frîda, Mundra
09.06.2012;Ligita, Gita
10.06.2012;Malva, Anatols
11.06.2012;Ingus, Mairis, Vidvuds
12.06.2012;Nora, Ija, Lenora
13.06.2012;Zigfrîds, Ainârs, Uva
14.06.2012;Tija, Saiva, Saivis, Sentis, Santis
15.06.2012;Baòuta, Þermçna, Vilija, Vits
16.06.2012;Justîne, Juta
17.06.2012;Artûrs, Artis
18.06.2012;Alberts, Madis
19.06.2012;Viktors, Nils
20.06.2012;Rasma, Rasa, Maira
21.06.2012;Emîls, Egita, Monvîds
22.06.2012;Ludmila, Laimdots, Laimiòð
23.06.2012;Lîga
24.06.2012;Jânis
25.06.2012;Milija, Maiga
26.06.2012;Ausma, Ausmis, Inguna, Inguns, Ingûna
27.06.2012;Malvîne, Malvis
28.06.2012;Viesturs, Viestards, Kitija
29.06.2012;Pçteris, Pâvils, Pauls, Paulis
30.06.2012;Tâlivaldis, Mareks
01.07.2012;Imants, Rimants, Ingars, Intars
02.07.2012;Lauma, Ilvars, Halina
03.07.2012;Benita, Everita, Emerita, Verita
04.07.2012;Uldis, Ulvis, Sandis
05.07.2012;Andþs, Andþejs, Edîte, Esmeralda
06.07.2012;Anrijs, Arkâdijs
07.07.2012;Alda, Maruta
08.07.2012;Antra, Adele, Ada
09.07.2012;Zaiga, Asne, Asna
10.07.2012;Lija, Olîvija, Olivers, Odrija
11.07.2012;Leonora, Svens
12.07.2012;Indriíis, Ints, Namejs
13.07.2012;Margrieta, Margarita
14.07.2012;Oskars, Ritvars, Anvars
15.07.2012;Egons, Egmonts, Egija, Henriks, Heinrihs
16.07.2012;Hermîne, Estere
17.07.2012;Aleksis, Alekss, Aleksejs
18.07.2012;Rozâlija, Roze
19.07.2012;Jautrîte, Kamila, Digna, Sâra
20.07.2012;Ritma, Ramona
21.07.2012;Melisa, Meldra, Meldris
22.07.2012;Marija, Marika, Marina
23.07.2012;Magda, Magone, Mçrija
24.07.2012;Kristîne, Kristîna, Krista, Kristiâna, Kristiâns
25.07.2012;Jçkabs, Þaklîna
26.07.2012;Anna, Annija, Ance
27.07.2012;Marta, Dita, Dite
28.07.2012;Cecîlija, Cilda
29.07.2012;Edmunds, Edþus, Vidmants
30.07.2012;Valters, Renârs, Regnârs
31.07.2012;Ruta, Rûta, Angelika, Sigita
01.08.2012;Albîns, Albîna
02.08.2012;Normunds, Stefans
03.08.2012;Augusts
04.08.2012;Româns, Romualds, Romualda
05.08.2012;Osvalds, Arvils
06.08.2012;Askolds, Aisma
07.08.2012;Alfrçds, Fredis, Madars
08.08.2012;Mudîte, Vladislavs, Vladislava
09.08.2012;Madara, Genoveva, Genovefa
10.08.2012;Brencis, Inuta, Audris
11.08.2012;Olga, Zita, Zigita, Liega
12.08.2012;Vizma, Klâra
13.08.2012;Elvîra, Velga
14.08.2012;Zelma, Zemgus, Virma
15.08.2012;Zenta, Dzelde, Zelda
16.08.2012;Astra, Astrîda
17.08.2012;Vineta, Oïegs
18.08.2012;Liene, Liena, Helçna, Elena, Ellena
19.08.2012;Melânija, Imanta
20.08.2012;Bernhards, Boriss, Rojs
21.08.2012;Janîna, Linda
22.08.2012;Rudite, Everts
23.08.2012;Vitâlijs, Ralfs, Valgudis
24.08.2012;Bçrtulis, Boïeslavs
25.08.2012;Ludvigs, Ludis, Ivonna, Patrîcija, Patriks
26.08.2012;Natâlija, Tâlija, Broòislava, Broòislavs
27.08.2012;Þanis, Jorens, Alens
28.08.2012;Auguste, Guste
29.08.2012;Armîns, Vismants, Aiga
30.08.2012;Alvis, Jolanta, Samanta
31.08.2012;Vilma, Aigars
01.09.2012;Ilmârs, Iluta, Austrums
02.09.2012;Elîza, Lizete, Zete
03.09.2012;Berta, Bella
04.09.2012;Dzintra, Dzintars, Dzintara
05.09.2012;Klaudija, Persijs, Vaida
06.09.2012;Maigonis, Magnuss, Mariuss
07.09.2012;Regîna, Ermîns
08.09.2012;Ilga
09.09.2012;Bruno, Telma
10.09.2012;Jausma, Albertîne
11.09.2012;Signe, Signija
12.09.2012;Erna, Evita, Eva
13.09.2012;Iza, Izabella
14.09.2012;Sanita, Sanija, Santa, Sanda
15.09.2012;Sandra, Sondra, Gunvaldis, Gunvaris
16.09.2012;Asja, Asnete, Dâgs
17.09.2012;Vera, Vaira, Vairis
18.09.2012;Liesma, Elita, Alita
19.09.2012;Verners, Muntis
20.09.2012;Guntra, Marianna, Ginters
21.09.2012;Modris, Matîss, Mariss
22.09.2012;Mâris, Mârica, Maigurs
23.09.2012;Vanda, Veneranda, Venija
24.09.2012;Agris, Agrita
25.09.2012;Rodrigo, Rauls
26.09.2012;Gundars, Kurts, Knuts
27.09.2012;Âdolfs, Ilgonis
28.09.2012;Sergejs, Svetlana, Lana
29.09.2012;Miíelis, Mikus, Mihails, Miks
30.09.2012;Elma, Elna, Menarda
01.10.2012;Zanda, Zandis, Lâsma
02.10.2012;Ilma, Skaidris
03.10.2012;Elza, Ilizana
04.10.2012;Modra, Francis, Dmitrijs
05.10.2012;Amâlija, Amçlija
06.10.2012;Monika, Zilgma, Zilga
07.10.2012;Daumants, Druvvaldis
08.10.2012;Aina, Anete
09.10.2012;Elga, Helga, Elgars
10.10.2012;Arvîds, Arvis, Druvis
11.10.2012;Monta, Tince, Silva
12.10.2012;Valfrîds, Kira
13.10.2012;Irma, Mirga
14.10.2012;Vilhelmîne, Minna
15.10.2012;Eda, Hedviga, Helvijs
16.10.2012;Daiga, Dinija, Dinârs
17.10.2012;Gaits, Karîna, Gaitis
18.10.2012;Rolands, Rolanda, Ronalds, Erlends
19.10.2012;Elîna, Drosma, Drosmis
20.10.2012;Leonîds, Leonîda
21.10.2012;Urzula, Severîns
22.10.2012;Îrisa, Irîda, Airisa
23.10.2012;Daina, Dainis, Dainida
24.10.2012;Renâte, Modrîte, Mudrîte
25.10.2012;Beâte, Beatrise
26.10.2012;Amanda, Amanta, Kaiva
27.10.2012;Lilita, Irita, Ita
28.10.2012;Òina, Ninona, Antoòina, Oksana
29.10.2012;Laimonis, Laimis, Elvijs, Elva, Elvis
30.10.2012;Nadlîna, Adîna, Ulla
31.10.2012;Valts, Rinalds, Rinalda
01.11.2012;Ikars
02.11.2012;Vivita, Viva, Dzîle
03.11.2012;Çrika, Dagnija
04.11.2012;Atis, Otomârs, Oto
05.11.2012;Ðarlote, Lote
06.11.2012;Linards, Leons, Leo, Leonards
07.11.2012;Helma, Lotârs
08.11.2012;Aleksandra, Agra
09.11.2012;Teodors
10.11.2012;Mârtiòð, Mârcis, Markuss, Marks
11.11.2012;Ojârs, Nellija, Rainers
12.11.2012;Kaija, Kornçlija
13.11.2012;Eiþens, Jevgeòijs, Jevgeòija
14.11.2012;Fricis, Vikentijs, Vincents
15.11.2012;Leopolds, Undîne, Unda
16.11.2012;Banga, Glorija
17.11.2012;Hugo, Uga, Uìis
18.11.2012;Aleksandrs, Doloresa
19.11.2012;Elizabete, Liza, Lîze, Betija
20.11.2012;Anda, Andîna
21.11.2012;Zeltîte, Andis
22.11.2012;Aldis, Alfons, Aldris
23.11.2012;Zigrîda, Zigfrîda, Zigrîds
24.11.2012;Velta, Velda
25.11.2012;Katrîna, Kate, Kadrija, Trîne, Katrîne
26.11.2012;Konrâds, Sebastians
27.11.2012;Lauris, Norberts
28.11.2012;Rita, Vita, Olita
29.11.2012;Ignats, Virgînija
30.11.2012;Andrejs, Andris, Andrievs
01.12.2012;Arnolds, Emanuels
02.12.2012;Meta, Sniedze
03.12.2012;Evija, Raita, Jogita
04.12.2012;Baiba, Barbara, Barba
05.12.2012;Sabîne, Sarma, Klaudijs
06.12.2012;Nikolajs, Niklâvs, Niks, Nikola
07.12.2012;Antonija, Anta, Dzirkstîte
08.12.2012;Gunârs, Vladimirs, Gunis
09.12.2012;Sarmîte, Tabita
10.12.2012;Guna, Judîte
11.12.2012;Voldemârs, Valdemârs, Valdis
12.12.2012;Otîlija, Iveta
13.12.2012;Lûcija, Veldze
14.12.2012;Auseklis, Gaisma
15.12.2012;Jana, Johanna, Hanna
16.12.2012;Alvîne
17.12.2012;Hilda, Teiksma
18.12.2012;Kristaps, Krists, Klinta, Kristofers
19.12.2012;Lelde, Sarmis
20.12.2012;Arta, Minjona
21.12.2012;Toms, Tomass, Saulcerîte
22.12.2012;Saulvedis
23.12.2012;Viktorija, Balva
24.12.2012;Âdams, Ieva
25.12.2012;Stella, Larisa
26.12.2012;Dainuvîte, Gija, Megija
27.12.2012;Elmârs, Inita
28.12.2012;Inga, Ivita, Irvita, Ingeborga
29.12.2012;Solveiga, Ilgona
30.12.2012;Dâvids, Dâvis, Dâniels, Daniela, Daniels
31.12.2012;Silvestrs, Silvis, Kalvis
